Item,Part,Quest,Gender,Edu,Time,Score,ITEM_ID,SENT_ID,SENTENCE,CONDITION,TARGET_WORD,SENT_COND
SR1a_04,2,SR1a,donna,magistrale,795,3,4,16,"La giornata era stata alquanto nuvolosa. All'improvviso uscì il sole. Tuttavia, Sheila tirò fuori l'ombrello dalla borsa.",PLAUS_CONN,ombrello,SC4
SR1a_05,1,SR1a,uomo,triennale,1355,6,5,17,Guglielmo era a casa. Si era completamente dimenticato di dare da mangiare al gatto. Il gatto era affamato alla fine della settimana.,PLAUS_NOCONN,affamato,SC1
SR1a_05,3,SR1a,uomo,Diploma_scuola,925,6,5,17,Guglielmo era a casa. Si era completamente dimenticato di dare da mangiare al gatto. Il gatto era affamato alla fine della settimana.,PLAUS_NOCONN,affamato,SC1
SR1a_05,2,SR1a,donna,magistrale,795,6,5,17,Guglielmo era a casa. Si era completamente dimenticato di dare da mangiare al gatto. Il gatto era affamato alla fine della settimana.,PLAUS_NOCONN,affamato,SC1
SR1a_05,4,SR1a,uomo,triennale,845,5,5,17,Guglielmo era a casa. Si era completamente dimenticato di dare da mangiare al gatto. Il gatto era affamato alla fine della settimana.,PLAUS_NOCONN,affamato,SC1
SR1a_05,5,SR1a,uomo,Licenza_elementare,1048,7,5,17,Guglielmo era a casa. Si era completamente dimenticato di dare da mangiare al gatto. Il gatto era affamato alla fine della settimana.,PLAUS_NOCONN,affamato,SC1
SR1a_06,5,SR1a,uomo,Licenza_elementare,1048,2,6,22,La donna cieca era stata operata. Il dottore era molto deluso dai risultati. La sua vista migliorò il giorno successivo.,IMPLAUS_NOCONN,migliorò,SC2
SR1a_06,1,SR1a,uomo,triennale,1355,1,6,22,La donna cieca era stata operata. Il dottore era molto deluso dai risultati. La sua vista migliorò il giorno successivo.,IMPLAUS_NOCONN,migliorò,SC2
SR1a_06,2,SR1a,donna,magistrale,795,3,6,22,La donna cieca era stata operata. Il dottore era molto deluso dai risultati. La sua vista migliorò il giorno successivo.,IMPLAUS_NOCONN,migliorò,SC2
SR1a_06,4,SR1a,uomo,triennale,845,1,6,22,La donna cieca era stata operata. Il dottore era molto deluso dai risultati. La sua vista migliorò il giorno successivo.,IMPLAUS_NOCONN,migliorò,SC2
SR1a_06,3,SR1a,uomo,Diploma_scuola,925,2,6,22,La donna cieca era stata operata. Il dottore era molto deluso dai risultati. La sua vista migliorò il giorno successivo.,IMPLAUS_NOCONN,migliorò,SC2
SR1a_07,5,SR1a,uomo,Licenza_elementare,1048,7,7,27,"Il cane correva in una strada trafficata. L'auto stava accelerando e lo ha investito. Tuttavia, il cane si è ferito gravemente.",IMPLAUS_CONN,ferito,SC3
SR1a_07,2,SR1a,donna,magistrale,795,2,7,27,"Il cane correva in una strada trafficata. L'auto stava accelerando e lo ha investito. Tuttavia, il cane si è ferito gravemente.",IMPLAUS_CONN,ferito,SC3
SR1a_07,3,SR1a,uomo,Diploma_scuola,925,6,7,27,"Il cane correva in una strada trafficata. L'auto stava accelerando e lo ha investito. Tuttavia, il cane si è ferito gravemente.",IMPLAUS_CONN,ferito,SC3
SR1a_07,4,SR1a,uomo,triennale,845,6,7,27,"Il cane correva in una strada trafficata. L'auto stava accelerando e lo ha investito. Tuttavia, il cane si è ferito gravemente.",IMPLAUS_CONN,ferito,SC3
SR1a_07,1,SR1a,uomo,triennale,1355,1,7,27,"Il cane correva in una strada trafficata. L'auto stava accelerando e lo ha investito. Tuttavia, il cane si è ferito gravemente.",IMPLAUS_CONN,ferito,SC3
SR1a_08,5,SR1a,uomo,Licenza_elementare,1048,2,8,32,"Elisabetta ha avuto un esame di storia lunedì. Ha fatto il test e l'ha fallito. Tuttavia, è tornata a casa e ha festeggiato tutta la sera.",PLAUS_CONN,festeggiato,SC4
SR1a_08,1,SR1a,uomo,triennale,1355,1,8,32,"Elisabetta ha avuto un esame di storia lunedì. Ha fatto il test e l'ha fallito. Tuttavia, è tornata a casa e ha festeggiato tutta la sera.",PLAUS_CONN,festeggiato,SC4
SR1a_08,4,SR1a,uomo,triennale,845,3,8,32,"Elisabetta ha avuto un esame di storia lunedì. Ha fatto il test e l'ha fallito. Tuttavia, è tornata a casa e ha festeggiato tutta la sera.",PLAUS_CONN,festeggiato,SC4
SR1a_08,2,SR1a,donna,magistrale,795,5,8,32,"Elisabetta ha avuto un esame di storia lunedì. Ha fatto il test e l'ha fallito. Tuttavia, è tornata a casa e ha festeggiato tutta la sera.",PLAUS_CONN,festeggiato,SC4
SR1a_08,3,SR1a,uomo,Diploma_scuola,925,1,8,32,"Elisabetta ha avuto un esame di storia lunedì. Ha fatto il test e l'ha fallito. Tuttavia, è tornata a casa e ha festeggiato tutta la sera.",PLAUS_CONN,festeggiato,SC4
SR1a_09,2,SR1a,donna,magistrale,795,7,9,33,La star di Broadway ha avuto un assolo nel musical. Ha cantato il pezzo magnificamente. Il pubblico ha applaudito molto energicamente.,PLAUS_NOCONN,applaudito,SC1
SR1a_09,4,SR1a,uomo,triennale,845,7,9,33,La star di Broadway ha avuto un assolo nel musical. Ha cantato il pezzo magnificamente. Il pubblico ha applaudito molto energicamente.,PLAUS_NOCONN,applaudito,SC1
SR1a_09,3,SR1a,uomo,Diploma_scuola,925,7,9,33,La star di Broadway ha avuto un assolo nel musical. Ha cantato il pezzo magnificamente. Il pubblico ha applaudito molto energicamente.,PLAUS_NOCONN,applaudito,SC1
SR1a_09,1,SR1a,uomo,triennale,1355,7,9,33,La star di Broadway ha avuto un assolo nel musical. Ha cantato il pezzo magnificamente. Il pubblico ha applaudito molto energicamente.,PLAUS_NOCONN,applaudito,SC1
SR1a_09,5,SR1a,uomo,Licenza_elementare,1048,7,9,33,La star di Broadway ha avuto un assolo nel musical. Ha cantato il pezzo magnificamente. Il pubblico ha applaudito molto energicamente.,PLAUS_NOCONN,applaudito,SC1
SR1a_10,2,SR1a,donna,magistrale,795,1,10,38,Caterina ha avuto un esame martedì. Ha ricevuto il voto più alto. Era davvero frustrata per il risultato.,IMPLAUS_NOCONN,frustrata,SC2
SR1a_10,1,SR1a,uomo,triennale,1355,1,10,38,Caterina ha avuto un esame martedì. Ha ricevuto il voto più alto. Era davvero frustrata per il risultato.,IMPLAUS_NOCONN,frustrata,SC2
SR1a_10,3,SR1a,uomo,Diploma_scuola,925,2,10,38,Caterina ha avuto un esame martedì. Ha ricevuto il voto più alto. Era davvero frustrata per il risultato.,IMPLAUS_NOCONN,frustrata,SC2
SR1a_10,5,SR1a,uomo,Licenza_elementare,1048,2,10,38,Caterina ha avuto un esame martedì. Ha ricevuto il voto più alto. Era davvero frustrata per il risultato.,IMPLAUS_NOCONN,frustrata,SC2
SR1a_10,4,SR1a,uomo,triennale,845,1,10,38,Caterina ha avuto un esame martedì. Ha ricevuto il voto più alto. Era davvero frustrata per il risultato.,IMPLAUS_NOCONN,frustrata,SC2
SR1a_11,5,SR1a,uomo,Licenza_elementare,1048,7,11,43,"I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Tuttavia, sono stati imprigionati immediatamente. ",IMPLAUS_CONN,imprigionati,SC3
SR1a_11,4,SR1a,uomo,triennale,845,4,11,43,"I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Tuttavia, sono stati imprigionati immediatamente. ",IMPLAUS_CONN,imprigionati,SC3
SR1a_11,3,SR1a,uomo,Diploma_scuola,925,6,11,43,"I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Tuttavia, sono stati imprigionati immediatamente. ",IMPLAUS_CONN,imprigionati,SC3
SR1a_11,1,SR1a,uomo,triennale,1355,2,11,43,"I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Tuttavia, sono stati imprigionati immediatamente. ",IMPLAUS_CONN,imprigionati,SC3
SR1a_11,2,SR1a,donna,magistrale,795,2,11,43,"I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Tuttavia, sono stati imprigionati immediatamente. ",IMPLAUS_CONN,imprigionati,SC3
SR1a_12,4,SR1a,uomo,triennale,845,5,12,48,"Silvia e Franco stavano giocando d'azzardo al casinò. Nessuno dei due vinse al blackjack. Tuttavia, erano entrambi felici quella notte.",PLAUS_CONN,felici,SC4
SR1a_12,1,SR1a,uomo,triennale,1355,3,12,48,"Silvia e Franco stavano giocando d'azzardo al casinò. Nessuno dei due vinse al blackjack. Tuttavia, erano entrambi felici quella notte.",PLAUS_CONN,felici,SC4
SR1a_12,3,SR1a,uomo,Diploma_scuola,925,2,12,48,"Silvia e Franco stavano giocando d'azzardo al casinò. Nessuno dei due vinse al blackjack. Tuttavia, erano entrambi felici quella notte.",PLAUS_CONN,felici,SC4
SR1a_12,2,SR1a,donna,magistrale,795,6,12,48,"Silvia e Franco stavano giocando d'azzardo al casinò. Nessuno dei due vinse al blackjack. Tuttavia, erano entrambi felici quella notte.",PLAUS_CONN,felici,SC4
SR1a_12,5,SR1a,uomo,Licenza_elementare,1048,3,12,48,"Silvia e Franco stavano giocando d'azzardo al casinò. Nessuno dei due vinse al blackjack. Tuttavia, erano entrambi felici quella notte.",PLAUS_CONN,felici,SC4
SR1a_13,3,SR1a,uomo,Diploma_scuola,925,7,13,49,Alice è andata in campeggio durante le vacanze. È stata morsa dalle zanzare. Ha iniziato a sentire prurito dappertutto.,PLAUS_NOCONN,prurito,SC1
SR1a_13,2,SR1a,donna,magistrale,795,6,13,49,Alice è andata in campeggio durante le vacanze. È stata morsa dalle zanzare. Ha iniziato a sentire prurito dappertutto.,PLAUS_NOCONN,prurito,SC1
SR1a_13,4,SR1a,uomo,triennale,845,7,13,49,Alice è andata in campeggio durante le vacanze. È stata morsa dalle zanzare. Ha iniziato a sentire prurito dappertutto.,PLAUS_NOCONN,prurito,SC1
SR1a_13,1,SR1a,uomo,triennale,1355,6,13,49,Alice è andata in campeggio durante le vacanze. È stata morsa dalle zanzare. Ha iniziato a sentire prurito dappertutto.,PLAUS_NOCONN,prurito,SC1
SR1a_13,5,SR1a,uomo,Licenza_elementare,1048,7,13,49,Alice è andata in campeggio durante le vacanze. È stata morsa dalle zanzare. Ha iniziato a sentire prurito dappertutto.,PLAUS_NOCONN,prurito,SC1
SR1a_14,5,SR1a,uomo,Licenza_elementare,1048,1,14,54,Uno scout è venuto a vedere Paolo giocare a baseball. Ha lanciato in modo pessimo. È stato firmato dalla squadra.,IMPLAUS_NOCONN,firmato,SC2
SR1a_14,3,SR1a,uomo,Diploma_scuola,925,2,14,54,Uno scout è venuto a vedere Paolo giocare a baseball. Ha lanciato in modo pessimo. È stato firmato dalla squadra.,IMPLAUS_NOCONN,firmato,SC2
SR1a_14,4,SR1a,uomo,triennale,845,1,14,54,Uno scout è venuto a vedere Paolo giocare a baseball. Ha lanciato in modo pessimo. È stato firmato dalla squadra.,IMPLAUS_NOCONN,firmato,SC2
SR1a_14,2,SR1a,donna,magistrale,795,4,14,54,Uno scout è venuto a vedere Paolo giocare a baseball. Ha lanciato in modo pessimo. È stato firmato dalla squadra.,IMPLAUS_NOCONN,firmato,SC2
SR1a_14,1,SR1a,uomo,triennale,1355,1,14,54,Uno scout è venuto a vedere Paolo giocare a baseball. Ha lanciato in modo pessimo. È stato firmato dalla squadra.,IMPLAUS_NOCONN,firmato,SC2
SR1a_15,3,SR1a,uomo,Diploma_scuola,925,6,15,59,"L'eremita viveva in una grotta. Non faceva il bagno da mesi. Tuttavia, i suoi capelli sembravano sporchi e disordinati.",IMPLAUS_CONN,sporchi,SC3
SR1a_15,2,SR1a,donna,magistrale,795,2,15,59,"L'eremita viveva in una grotta. Non faceva il bagno da mesi. Tuttavia, i suoi capelli sembravano sporchi e disordinati.",IMPLAUS_CONN,sporchi,SC3
SR1a_15,5,SR1a,uomo,Licenza_elementare,1048,7,15,59,"L'eremita viveva in una grotta. Non faceva il bagno da mesi. Tuttavia, i suoi capelli sembravano sporchi e disordinati.",IMPLAUS_CONN,sporchi,SC3
SR1a_15,4,SR1a,uomo,triennale,845,7,15,59,"L'eremita viveva in una grotta. Non faceva il bagno da mesi. Tuttavia, i suoi capelli sembravano sporchi e disordinati.",IMPLAUS_CONN,sporchi,SC3
SR1a_15,1,SR1a,uomo,triennale,1355,5,15,59,"L'eremita viveva in una grotta. Non faceva il bagno da mesi. Tuttavia, i suoi capelli sembravano sporchi e disordinati.",IMPLAUS_CONN,sporchi,SC3
SR1a_16,3,SR1a,uomo,Diploma_scuola,925,4,16,64,"Ottavia ha bisogno di una media del 27 per laurearsi. Si è resa conto che la sua media è troppo bassa. Tuttavia, si diplomerà la prossima settimana con la sua classe.",PLAUS_CONN,settimana,SC4
SR1a_16,1,SR1a,uomo,triennale,1355,3,16,64,"Ottavia ha bisogno di una media del 27 per laurearsi. Si è resa conto che la sua media è troppo bassa. Tuttavia, si diplomerà la prossima settimana con la sua classe.",PLAUS_CONN,settimana,SC4
SR1a_16,4,SR1a,uomo,triennale,845,2,16,64,"Ottavia ha bisogno di una media del 27 per laurearsi. Si è resa conto che la sua media è troppo bassa. Tuttavia, si diplomerà la prossima settimana con la sua classe.",PLAUS_CONN,settimana,SC4
SR1a_16,2,SR1a,donna,magistrale,795,3,16,64,"Ottavia ha bisogno di una media del 27 per laurearsi. Si è resa conto che la sua media è troppo bassa. Tuttavia, si diplomerà la prossima settimana con la sua classe.",PLAUS_CONN,settimana,SC4
SR1a_16,5,SR1a,uomo,Licenza_elementare,1048,3,16,64,"Ottavia ha bisogno di una media del 27 per laurearsi. Si è resa conto che la sua media è troppo bassa. Tuttavia, si diplomerà la prossima settimana con la sua classe.",PLAUS_CONN,settimana,SC4
SR1a_17,3,SR1a,uomo,Diploma_scuola,925,6,17,65,Giacomo ha avuto un problema con il cibo. Praticamente aveva smesso di mangiare. È diventato davvero magro dopo un po'.,PLAUS_NOCONN,magro,SC1
SR1a_17,5,SR1a,uomo,Licenza_elementare,1048,7,17,65,Giacomo ha avuto un problema con il cibo. Praticamente aveva smesso di mangiare. È diventato davvero magro dopo un po'.,PLAUS_NOCONN,magro,SC1
SR1a_17,1,SR1a,uomo,triennale,1355,7,17,65,Giacomo ha avuto un problema con il cibo. Praticamente aveva smesso di mangiare. È diventato davvero magro dopo un po'.,PLAUS_NOCONN,magro,SC1
SR1a_17,4,SR1a,uomo,triennale,845,6,17,65,Giacomo ha avuto un problema con il cibo. Praticamente aveva smesso di mangiare. È diventato davvero magro dopo un po'.,PLAUS_NOCONN,magro,SC1
SR1a_17,2,SR1a,donna,magistrale,795,6,17,65,Giacomo ha avuto un problema con il cibo. Praticamente aveva smesso di mangiare. È diventato davvero magro dopo un po'.,PLAUS_NOCONN,magro,SC1
SR1a_18,4,SR1a,uomo,triennale,845,1,18,70,Il ladro era goffo. L'allarme non era scattato. E' stato catturato dalla guardia.,IMPLAUS_NOCONN,catturato,SC2
SR1a_18,2,SR1a,donna,magistrale,795,6,18,70,Il ladro era goffo. L'allarme non era scattato. E' stato catturato dalla guardia.,IMPLAUS_NOCONN,catturato,SC2
SR1a_18,1,SR1a,uomo,triennale,1355,7,18,70,Il ladro era goffo. L'allarme non era scattato. E' stato catturato dalla guardia.,IMPLAUS_NOCONN,catturato,SC2
SR1a_18,3,SR1a,uomo,Diploma_scuola,925,7,18,70,Il ladro era goffo. L'allarme non era scattato. E' stato catturato dalla guardia.,IMPLAUS_NOCONN,catturato,SC2
SR1a_18,5,SR1a,uomo,Licenza_elementare,1048,2,18,70,Il ladro era goffo. L'allarme non era scattato. E' stato catturato dalla guardia.,IMPLAUS_NOCONN,catturato,SC2
SR1a_19,4,SR1a,uomo,triennale,845,6,19,75,"La compagnia telefonica aveva problemi finanziari quell'anno. Aveva perso molti clienti. Tuttavia, i suoi profitti sono diminuiti poco dopo.",IMPLAUS_CONN,diminuiti,SC3
SR1a_19,2,SR1a,donna,magistrale,795,2,19,75,"La compagnia telefonica aveva problemi finanziari quell'anno. Aveva perso molti clienti. Tuttavia, i suoi profitti sono diminuiti poco dopo.",IMPLAUS_CONN,diminuiti,SC3
SR1a_19,1,SR1a,uomo,triennale,1355,1,19,75,"La compagnia telefonica aveva problemi finanziari quell'anno. Aveva perso molti clienti. Tuttavia, i suoi profitti sono diminuiti poco dopo.",IMPLAUS_CONN,diminuiti,SC3
SR1a_19,3,SR1a,uomo,Diploma_scuola,925,6,19,75,"La compagnia telefonica aveva problemi finanziari quell'anno. Aveva perso molti clienti. Tuttavia, i suoi profitti sono diminuiti poco dopo.",IMPLAUS_CONN,diminuiti,SC3
SR1a_19,5,SR1a,uomo,Licenza_elementare,1048,6,19,75,"La compagnia telefonica aveva problemi finanziari quell'anno. Aveva perso molti clienti. Tuttavia, i suoi profitti sono diminuiti poco dopo.",IMPLAUS_CONN,diminuiti,SC3
SR1a_20,2,SR1a,donna,magistrale,795,6,20,80,"Gianni prendeva buoni voti e non dava mai problemi a scuola. Era sempre allegro e aveva molti amici. Tuttavia, i suoi genitori erano preoccupati per lui.",PLAUS_CONN,preoccupati,SC4
SR1a_20,5,SR1a,uomo,Licenza_elementare,1048,3,20,80,"Gianni prendeva buoni voti e non dava mai problemi a scuola. Era sempre allegro e aveva molti amici. Tuttavia, i suoi genitori erano preoccupati per lui.",PLAUS_CONN,preoccupati,SC4
SR1a_20,4,SR1a,uomo,triennale,845,3,20,80,"Gianni prendeva buoni voti e non dava mai problemi a scuola. Era sempre allegro e aveva molti amici. Tuttavia, i suoi genitori erano preoccupati per lui.",PLAUS_CONN,preoccupati,SC4
SR1a_20,3,SR1a,uomo,Diploma_scuola,925,4,20,80,"Gianni prendeva buoni voti e non dava mai problemi a scuola. Era sempre allegro e aveva molti amici. Tuttavia, i suoi genitori erano preoccupati per lui.",PLAUS_CONN,preoccupati,SC4
SR1a_20,1,SR1a,uomo,triennale,1355,6,20,80,"Gianni prendeva buoni voti e non dava mai problemi a scuola. Era sempre allegro e aveva molti amici. Tuttavia, i suoi genitori erano preoccupati per lui.",PLAUS_CONN,preoccupati,SC4
SR1a_21,1,SR1a,uomo,triennale,1355,7,21,81,I due paesi erano in guerra da anni. I leader decisero di firmare la proposta di cessate il fuoco. Il conflitto finì poco dopo.,PLAUS_NOCONN,finì,SC1
SR1a_21,2,SR1a,donna,magistrale,795,6,21,81,I due paesi erano in guerra da anni. I leader decisero di firmare la proposta di cessate il fuoco. Il conflitto finì poco dopo.,PLAUS_NOCONN,finì,SC1
SR1a_21,3,SR1a,uomo,Diploma_scuola,925,7,21,81,I due paesi erano in guerra da anni. I leader decisero di firmare la proposta di cessate il fuoco. Il conflitto finì poco dopo.,PLAUS_NOCONN,finì,SC1
SR1a_21,4,SR1a,uomo,triennale,845,7,21,81,I due paesi erano in guerra da anni. I leader decisero di firmare la proposta di cessate il fuoco. Il conflitto finì poco dopo.,PLAUS_NOCONN,finì,SC1
SR1a_21,5,SR1a,uomo,Licenza_elementare,1048,5,21,81,I due paesi erano in guerra da anni. I leader decisero di firmare la proposta di cessate il fuoco. Il conflitto finì poco dopo.,PLAUS_NOCONN,finì,SC1
SR1a_22,2,SR1a,donna,magistrale,795,6,22,86,Il ristorante aveva ricevuto recensioni ottime. Era sempre pieno. A maggio aveva chiuso in via definitiva.,IMPLAUS_NOCONN,chiuso,SC2
SR1a_22,5,SR1a,uomo,Licenza_elementare,1048,2,22,86,Il ristorante aveva ricevuto recensioni ottime. Era sempre pieno. A maggio aveva chiuso in via definitiva.,IMPLAUS_NOCONN,chiuso,SC2
SR1a_22,3,SR1a,uomo,Diploma_scuola,925,1,22,86,Il ristorante aveva ricevuto recensioni ottime. Era sempre pieno. A maggio aveva chiuso in via definitiva.,IMPLAUS_NOCONN,chiuso,SC2
SR1a_22,1,SR1a,uomo,triennale,1355,2,22,86,Il ristorante aveva ricevuto recensioni ottime. Era sempre pieno. A maggio aveva chiuso in via definitiva.,IMPLAUS_NOCONN,chiuso,SC2
SR1a_22,4,SR1a,uomo,triennale,845,1,22,86,Il ristorante aveva ricevuto recensioni ottime. Era sempre pieno. A maggio aveva chiuso in via definitiva.,IMPLAUS_NOCONN,chiuso,SC2
SR1a_23,4,SR1a,uomo,triennale,845,6,23,91,"La famosa violinista era sicura della sua performance. Ha interpretato il pezzo in modo eccezionale. Tuttavia, tutti avevano esultato per lei.",IMPLAUS_CONN,esultato,SC3
SR1a_23,2,SR1a,donna,magistrale,795,2,23,91,"La famosa violinista era sicura della sua performance. Ha interpretato il pezzo in modo eccezionale. Tuttavia, tutti avevano esultato per lei.",IMPLAUS_CONN,esultato,SC3
SR1a_23,3,SR1a,uomo,Diploma_scuola,925,2,23,91,"La famosa violinista era sicura della sua performance. Ha interpretato il pezzo in modo eccezionale. Tuttavia, tutti avevano esultato per lei.",IMPLAUS_CONN,esultato,SC3
SR1a_23,5,SR1a,uomo,Licenza_elementare,1048,7,23,91,"La famosa violinista era sicura della sua performance. Ha interpretato il pezzo in modo eccezionale. Tuttavia, tutti avevano esultato per lei.",IMPLAUS_CONN,esultato,SC3
SR1a_23,1,SR1a,uomo,triennale,1355,3,23,91,"La famosa violinista era sicura della sua performance. Ha interpretato il pezzo in modo eccezionale. Tuttavia, tutti avevano esultato per lei.",IMPLAUS_CONN,esultato,SC3
SR1a_24,3,SR1a,uomo,Diploma_scuola,925,6,24,96,"La sarta stava appuntando l'abito di Tobia. Era molto attenta con gli spilli. Tuttavia, Tobia venne punto un paio di volte.",PLAUS_CONN,punto,SC4
SR1a_24,1,SR1a,uomo,triennale,1355,5,24,96,"La sarta stava appuntando l'abito di Tobia. Era molto attenta con gli spilli. Tuttavia, Tobia venne punto un paio di volte.",PLAUS_CONN,punto,SC4
SR1a_24,4,SR1a,uomo,triennale,845,4,24,96,"La sarta stava appuntando l'abito di Tobia. Era molto attenta con gli spilli. Tuttavia, Tobia venne punto un paio di volte.",PLAUS_CONN,punto,SC4
SR1a_24,5,SR1a,uomo,Licenza_elementare,1048,3,24,96,"La sarta stava appuntando l'abito di Tobia. Era molto attenta con gli spilli. Tuttavia, Tobia venne punto un paio di volte.",PLAUS_CONN,punto,SC4
SR1a_24,2,SR1a,donna,magistrale,795,6,24,96,"La sarta stava appuntando l'abito di Tobia. Era molto attenta con gli spilli. Tuttavia, Tobia venne punto un paio di volte.",PLAUS_CONN,punto,SC4
SR1a_25,2,SR1a,donna,magistrale,795,6,25,97,Giuditta aveva un giardino nel cortile sul retro. Non ha mai trascorso molto tempo a lavorare lì. Era pieno di erbacce e spazzatura. ,PLAUS_NOCONN,erbacce,SC1
SR1a_25,3,SR1a,uomo,Diploma_scuola,925,6,25,97,Giuditta aveva un giardino nel cortile sul retro. Non ha mai trascorso molto tempo a lavorare lì. Era pieno di erbacce e spazzatura. ,PLAUS_NOCONN,erbacce,SC1
SR1a_25,4,SR1a,uomo,triennale,845,6,25,97,Giuditta aveva un giardino nel cortile sul retro. Non ha mai trascorso molto tempo a lavorare lì. Era pieno di erbacce e spazzatura. ,PLAUS_NOCONN,erbacce,SC1
SR1a_25,1,SR1a,uomo,triennale,1355,2,25,97,Giuditta aveva un giardino nel cortile sul retro. Non ha mai trascorso molto tempo a lavorare lì. Era pieno di erbacce e spazzatura. ,PLAUS_NOCONN,erbacce,SC1
SR1a_25,5,SR1a,uomo,Licenza_elementare,1048,6,25,97,Giuditta aveva un giardino nel cortile sul retro. Non ha mai trascorso molto tempo a lavorare lì. Era pieno di erbacce e spazzatura. ,PLAUS_NOCONN,erbacce,SC1
