"","ITEM_ID","SENT_ID","SENTENCE","ConditionEvenSo","ConditionHowever","PlausibilityEvenSo","PlausibilityHowever","Connective","TARGET_WORD","gpt2_target_surprisal","distilgpt2_target_surprisal","gptneo_target_surprisal","gpt2_however_target_surprisal","distilgpt2_however_target_surprisal","gptneo_however_target_surprisal","gptneo_len_tokens"
"17",5,16,"Bill was house-sitting. He totally forgot to feed the cat. At the end of the week it was starving for food. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","starving",14.29,12.54,8,14.29,12.54,8,28
"18",5,17,"Bill was house-sitting. He fed the cat regularly. At the end of the week it was starving for food. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","starving",13.95,11.56,10.63,13.95,11.56,10.63,26
"19",5,18,"Bill was house-sitting. He totally forgot to feed the cat. Even so, at the end of the week it was starving for food. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","starving",14.64,13.08,7.85,14.91,14.16,10.13,31
"20",5,19,"Bill was house-sitting. He fed the cat regularly. Even so, at the end of the week it was starving for food. ","PLAUS_CONN","PLAUS_CONN","1","1","1","starving",14.45,11.8,9.47,13.31,11.93,10.4,29
"21",6,20,"The legally blind woman had undergone the surgery. The doctor was very optimistic about the results. Her eyesight improved the next day. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","improved",4.49,5.38,4.03,4.49,5.38,4.03,27
"22",6,21,"The legally blind woman had undergone the surgery. The doctor was very disappointed about the results. Her eyesight improved the next day. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","improved",6.1,6.94,5.11,6.1,6.94,5.11,27
"23",6,22,"The legally blind woman had undergone the surgery. The doctor was very optimistic about the results. Even so, her eyesight improved the next day. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","improved",6.64,5.85,7.96,7.61,7.49,7.33,30
"24",6,23,"The legally blind woman had undergone the surgery. The doctor was very disappointed about the results. Even so, her eyesight improved the next day. ","PLAUS_CONN","PLAUS_CONN","1","1","1","improved",4.39,5.66,4.27,4.18,4.8,3.61,30
"25",7,24,"The dog ran into a busy street. The car was speeding and hit him. The dog was injured badly. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","injured",6.86,8.25,5.95,6.86,8.25,5.95,23
"26",7,25,"The dog ran into a busy street. Luckily, the car swerved and missed him. The dog was injured badly. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","injured",8.15,8.69,7.34,8.15,8.69,7.34,25
"27",7,26,"The dog ran into a busy street. The car was speeding and hit him. Even so, the dog was injured badly. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","injured",8.75,9.36,7.34,8.71,9.48,7,26
"28",7,27,"The dog ran into a busy street. Luckily, the car swerved and missed him. Even so, the dog was injured badly. ","PLAUS_CONN","PLAUS_CONN","1","1","1","injured",9.06,9.8,5.16,8.29,9.26,5.23,28
"29",8,28,"Elizabeth had a history exam on Monday. She took the test and aced it. She went home and celebrated wildly. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","celebrated",9.84,10.63,7.38,9.84,10.63,7.38,25
"30",8,29,"Elizabeth had a history exam on Monday. She took the test and failed it. She went home and celebrated wildly. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","celebrated",10.35,10.73,11.52,10.35,10.73,11.52,24
"31",8,30,"Elizabeth had a history exam on Monday. She took the test and aced it. Even so, she went home and celebrated wildly. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","celebrated",9.64,9.5,10.28,11.53,11.62,11.16,28
"32",8,31,"Elizabeth had a history exam on Monday. She took the test and failed it. Even so, she went home and celebrated wildly. ","PLAUS_CONN","PLAUS_CONN","1","1","1","celebrated",8.87,9.3,8.81,9.85,10.7,8.73,27
"33",9,32,"The family was out of town for the weekend. The house-sitter had completely forgotten to water the plants. The plants wilted and turned brown. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","wilted",8.04,7.93,6.18,8.04,7.93,6.18,32
"34",9,33,"The family was out of town for the weekend. The house-sitter faithfully remembered to water the plants. The plants wilted and turned brown. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","wilted",8.06,8.04,6.68,8.06,8.04,6.68,31
"35",9,34,"The family was out of town for the weekend. The house-sitter had completely forgotten to water the plants. Even so, the plants wilted and turned brown. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","wilted",7.81,8.19,6.19,7.9,8.17,6.97,35
"36",9,35,"The family was out of town for the weekend. The house-sitter faithfully remembered to water the plants. Even so, the plants wilted and turned brown. ","PLAUS_CONN","PLAUS_CONN","1","1","1","wilted",7.72,8.23,5.79,7.59,7.96,6.23,34
"37",10,36,"The Broadway star had a solo in the musical. She sang the piece beautifully. The audience applauded very loudly. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","applauded",3.7,4.29,5.29,3.7,4.29,5.29,23
"38",10,37,"The Broadway star had a solo in the musical. She sang the piece very badly and off-key. The audience applauded very loudly. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","applauded",4.85,5.16,6.6,4.85,5.16,6.6,28
"39",10,38,"The Broadway star had a solo in the musical. She sang the piece beautifully. Even so, the audience applauded very loudly. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","applauded",5.98,5.69,6.09,7.75,8.91,7.39,26
"40",10,39,"The Broadway star had a solo in the musical. She sang the piece very badly and off-key. Even so, the audience applauded very loudly. ","PLAUS_CONN","PLAUS_CONN","1","1","1","applauded",5.01,6.31,5.26,5.24,7.2,5.78,31
"41",11,40,"Mackenzie was the new kid in school. The other children began to tease her. She was crying by day's end. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","crying",7.7,7.95,11.06,7.7,7.95,11.06,27
"42",11,41,"Mackenzie was the new kid in school. The other children made her feel welcome. She was crying by day's end. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","crying",12.08,11.18,13.81,12.08,11.18,13.81,27
"43",11,42,"Mackenzie was the new kid in school. The other children began to tease her. Even so, she was crying by day's end. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","crying",11.93,9.73,14.87,13.58,10.69,14.37,30
"44",11,43,"Mackenzie was the new kid in school. The other children made her feel welcome. Even so, she was crying by day's end. ","PLAUS_CONN","PLAUS_CONN","1","1","1","crying",11.26,10.78,14.42,12.25,12.01,14.33,30
"45",12,44,"Catherine had a test on Tuesday. She received a failing grade. She was dismayed with the result. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","dismayed",6.34,6.17,5.22,6.34,6.17,5.22,23
"46",12,45,"Catherine had a test on Tuesday. She received the highest grade. She was dismayed with the result. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","dismayed",7.67,7.7,6.95,7.67,7.7,6.95,23
"47",12,46,"Catherine had a test on Tuesday. She received a failing grade. Even so, she was dismayed with the result. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","dismayed",6.27,5.92,5.76,6.32,6.1,5.9,26
"48",12,47,"Catherine had a test on Tuesday. She received the highest grade. Even so, she was dismayed with the result. ","PLAUS_CONN","PLAUS_CONN","1","1","1","dismayed",6.78,6.93,5.99,6.75,6.71,6.13,26
"49",13,48,"The city officials were brought to court. The judge ruled against them. They were imprisoned immediately. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","imprisoned",8.61,9.52,8.44,8.61,9.52,8.44,20
"50",13,49,"The city officials were brought to court. The judge ruled in their favor. They were imprisoned immediately. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","imprisoned",9.05,10.63,10.39,9.05,10.63,10.39,21
"51",13,50,"The city officials were brought to court. The judge ruled against them. Even so, they were imprisoned immediately. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","imprisoned",9.6,10.62,9.77,10.7,10.24,10.95,23
"52",13,51,"The city officials were brought to court. The judge ruled in their favor. Even so, they were imprisoned immediately. ","PLAUS_CONN","PLAUS_CONN","1","1","1","imprisoned",9.6,11.32,10.37,10.13,10.79,11.18,24
"53",14,52,"Joe plunked another coin into the slot machine. He spent all of his money trying to win. He was poor by the end. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","poor",11.16,11.93,10.46,11.16,11.93,10.46,29
"54",14,53,"Joe plunked another coin into the slot machine. He kept trying and won the jackpot. He was poor by the end. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","poor",12.57,13.23,13.38,12.57,13.23,13.38,28
"55",14,54,"Joe plunked another coin into the slot machine. He spent all of his money trying to win. Even so, he was poor by the end. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","poor",11.55,12.42,10.69,12.07,11.36,10.94,32
"56",14,55,"Joe plunked another coin into the slot machine. He kept trying and won the jackpot. Even so, he was poor by the end. ","PLAUS_CONN","PLAUS_CONN","1","1","1","poor",11.94,12.75,11.93,12.52,11.23,12.01,31
"57",15,56,"Sylvia and Frank were gambling at the casino. They won every game of blackjack. They were happy that night. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","happy",7.96,7.71,6.08,7.96,7.71,6.08,26
"58",15,57,"Sylvia and Frank were gambling at the casino. No one won the jackpot that night. They were happy that night. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","happy",8.65,7.88,6.38,8.65,7.88,6.38,27
"59",15,58,"Sylvia and Frank were gambling at the casino. They won every game of blackjack. Even so, they were happy that night. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","happy",8.22,6.77,7.25,11,8.82,10.1,29
"60",15,59,"Sylvia and Frank were gambling at the casino. No one won the jackpot that night. Even so, they were happy that night. ","PLAUS_CONN","PLAUS_CONN","1","1","1","happy",6.78,6.2,4.22,8.64,7.69,5.25,30
"61",16,60,"Alice went camping over vacation. She was bitten by mosquitoes. She began to itch all over. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","itch",8.57,9.87,4.73,8.57,9.87,4.73,20
"62",16,61,"Alice went camping over vacation. She used a great mosquito repellent. She began to itch all over. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","itch",9.41,10.34,8.65,9.41,10.34,8.65,23
"63",16,62,"Alice went camping over vacation. She was bitten by mosquitoes. Even so, she began to itch all over. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","itch",11.77,11.29,9.15,13.78,11.86,7.98,23
"64",16,63,"Alice went camping over vacation. She used a great mosquito repellent. Even so, she began to itch all over. ","PLAUS_CONN","PLAUS_CONN","1","1","1","itch",9.19,11.09,3.71,10.37,11.29,4.84,26
"65",17,64,"A recruiter came to watch Paco play baseball. He pitched very well. He was signed by the team. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","signed",10.78,10.07,8.19,10.78,10.07,8.19,24
"66",17,65,"A recruiter came to watch Paco play baseball. He pitched very badly. He was signed by the team. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","signed",9.87,9.56,9.41,9.87,9.56,9.41,24
"67",17,66,"A recruiter came to watch Paco play baseball. He pitched very well. Even so, he was signed by the team. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","signed",11.26,11.55,10.28,10.5,12.15,10.78,27
"68",17,67,"A recruiter came to watch Paco play baseball. He pitched very badly. Even so, he was signed by the team. ","PLAUS_CONN","PLAUS_CONN","1","1","1","signed",10.07,10.8,7.93,9.5,10.55,9.42,27
"69",18,68,"The hermit lived in a cave. He hadn't bathed for months. His hair looked dirty and untidy. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","dirty",7.61,7.75,6.45,7.61,7.75,6.45,25
"70",18,69,"The hermit lived in a cave. He bathed every day in the mountain stream. His hair looked dirty and untidy. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","dirty",9.53,7.99,8.01,9.53,7.99,8.01,27
"71",18,70,"The hermit lived in a cave. He hadn't bathed for months. Even so, his hair looked dirty and untidy. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","dirty",8.48,8.34,5.71,9.95,9.51,8.34,28
"72",18,71,"The hermit lived in a cave. He bathed every day in the mountain stream. Even so, his hair looked dirty and untidy. ","PLAUS_CONN","PLAUS_CONN","1","1","1","dirty",8.37,7.86,5.68,8.1,7.63,5.54,30
"73",19,72,"Otto needed a 2-5 average to graduate. He learned his average was high enough. He will graduate next week with his class. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","week",5.3,3.18,2.99,5.3,3.18,2.99,29
"74",19,73,"Otto needed a 2-5 average to graduate. He learned his average was too low. He will graduate next week with his class. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","week",5.41,2.88,3.36,5.41,2.88,3.36,29
"75",19,74,"Otto needed a 2-5 average to graduate. He learned his average was high enough. Even so, he will graduate next week with his class. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","week",5.39,4.21,3.71,5.49,3.74,3.61,32
"76",19,75,"Otto needed a 2-5 average to graduate. He learned his average was too low. Even so, he will graduate next week with his class. ","PLAUS_CONN","PLAUS_CONN","1","1","1","week",5.42,3.96,3.83,5.5,3.34,3.63,32
"77",20,76,"Jared had a problem with food. He had basically stopped eating. He got really thin after a while. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","thin",10.23,10.02,3.9,10.23,10.02,3.9,23
"78",20,77,"Jared had a problem with food. He couldn't stop eating. He got really thin after a while. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","thin",10.87,10.43,4.8,10.87,10.43,4.8,23
"79",20,78,"Jared had a problem with food. He had basically stopped eating. Even so, he got really thin after a while. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","thin",10.48,10.92,5.79,10.53,11.62,7.31,26
"80",20,79,"Jared had a problem with food. He couldn't stop eating. Even so, he got really thin after a while. ","PLAUS_CONN","PLAUS_CONN","1","1","1","thin",10.91,11.3,5.08,10.82,12.09,7.51,26
"81",21,80,"The burglar was clumsy. He had set off the alarm. He got caught by the guard. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","caught",6.75,6.75,4.01,6.75,6.75,4.01,21
"82",21,81,"The burglar was careful. He did not set off the alarm. He got caught by the guard. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","caught",8.68,7.1,8.06,8.68,7.1,8.06,22
"83",21,82,"The burglar was clumsy. He had set off the alarm. Even so, he got caught by the guard. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","caught",5.88,6.08,4.69,5.36,5.03,4.41,24
"84",21,83,"The burglar was careful. He did not set off the alarm. Even so, he got caught by the guard. ","PLAUS_CONN","PLAUS_CONN","1","1","1","caught",5.95,6.81,5.4,5.84,6.36,5.13,25
"85",22,84,"Alan was taking his daily jog. The road was very bumpy. He tripped and fell. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","tripped",7.8,7.9,7.75,7.8,7.9,7.75,21
"86",22,85,"Alan was taking his daily jog. The road was newly paved. He tripped and fell. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","tripped",8.29,8.17,8.67,8.29,8.17,8.67,20
"87",22,86,"Alan was taking his daily jog. The road was very bumpy. Even so, he tripped and fell. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","tripped",8.07,8.14,8.83,7.81,7.96,8.87,24
"88",22,87,"Alan was taking his daily jog. The road was newly paved. Even so, he tripped and fell. ","PLAUS_CONN","PLAUS_CONN","1","1","1","tripped",8.32,8.44,7.86,7.84,8.13,7.93,23
"89",23,88,"The telephone company ran into financial problems that year. It lost many customers. Its profits decreased shortly thereafter. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","decreased",8.24,7.55,7.78,8.24,7.55,7.78,22
"90",23,89,"The telephone company was very successful that year. It gained many customers. Its profits decreased shortly thereafter. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","decreased",8.07,6.87,11.14,8.07,6.87,11.14,21
"91",23,90,"The telephone company ran into financial problems that year. It lost many customers. Even so, its profits decreased shortly thereafter. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","decreased",9.28,8.41,12.65,9.36,8.12,12.46,25
"92",23,91,"The telephone company was very successful that year. It gained many customers. Even so, its profits decreased shortly thereafter. ","PLAUS_CONN","PLAUS_CONN","1","1","1","decreased",7.24,6.99,7.16,6.87,6.35,6.39,24
"93",24,92,"Joe got bad grades and frequently got in trouble at school. He seemed depressed and had no friends. His parents were worried about him. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","worried",4.19,4.56,4.37,4.19,4.56,4.37,28
"94",24,93,"Joe got good grades and never got in trouble at school. He was always cheerful and had lots of friends. His parents were worried about him. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","worried",8.57,8.52,7.37,8.57,8.52,7.37,30
"95",24,94,"Joe got bad grades and frequently got in trouble at school. He seemed depressed and had no friends. Even so, his parents were worried about him. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","worried",5.16,5.15,4.57,6.98,5.47,5.75,31
"96",24,95,"Joe got good grades and never got in trouble at school. He was always cheerful and had lots of friends. Even so, his parents were worried about him. ","PLAUS_CONN","PLAUS_CONN","1","1","1","worried",3.8,6.79,2.28,4.62,5.48,3.93,33
"97",25,96,"The two countries had been at war for years. The leaders agreed to sign the cease-fire proposal. The conflict ended shortly afterwards. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","ended",4.39,4.96,2.13,4.39,4.96,2.13,28
"98",25,97,"The two countries had been at war for years. The leaders rejected the latest cease-fire proposal. The conflict ended shortly afterwards. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","ended",5.95,6.26,5.42,5.95,6.26,5.42,27
"99",25,98,"The two countries had been at war for years. The leaders agreed to sign the cease-fire proposal. Even so, the conflict ended shortly afterwards. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","ended",6.78,5.93,5.97,5.91,5.65,4.96,31
"100",25,99,"The two countries had been at war for years. The leaders rejected the latest cease-fire proposal. Even so, the conflict ended shortly afterwards. ","PLAUS_CONN","PLAUS_CONN","1","1","1","ended",6.85,6.78,6.97,5.94,6.77,4.84,30
"101",26,100,"The restaurant had received terrible reviews. It was always empty. It closed down in May. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","closed",9.68,9,7.83,9.68,9,7.83,19
"102",26,101,"The restaurant had received excellent reviews. It was always crowded. It closed down in May. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","closed",9.36,9.7,9.62,9.36,9.7,9.62,19
"103",26,102,"The restaurant had received terrible reviews. It was always empty. Even so, it closed down in May. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","closed",9.27,7.43,10.54,8.02,8.26,9.93,22
"104",26,103,"The restaurant had received excellent reviews. It was always crowded. Even so, it closed down in May. ","PLAUS_CONN","PLAUS_CONN","1","1","1","closed",9.64,8.69,10.1,8.26,8.24,8.53,22
"105",27,104,"The milk was over a week old. Felicia thought it tasted sour. She dumped it out. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","dumped",10.45,11.82,9.46,10.45,11.82,9.46,21
"106",27,105,"The milk was still fresh. Felicia thought it tasted fine. She dumped it out. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","dumped",11.63,12.86,10.77,11.63,12.86,10.77,19
"107",27,106,"The milk was over a week old. Felicia thought it tasted sour. Even so, she dumped it out. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","dumped",12.33,11.75,12.04,14.1,13.64,13.48,24
"108",27,107,"The milk was still fresh. Felicia thought it tasted fine. Even so, she dumped it out. ","PLAUS_CONN","PLAUS_CONN","1","1","1","dumped",13.72,13.11,12.78,15,14.4,14.45,22
"109",28,108,"Margot's boyfriend brought her some vanilla ice cream. She hated that flavor. She refused the gift. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","refused",9.47,9.43,8.04,9.47,9.43,8.04,22
"110",28,109,"Margot's boyfriend brought her some chocolate ice cream. It was her favorite flavor. She refused the gift. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","refused",10.31,11.32,9.56,10.31,11.32,9.56,23
"111",28,110,"Margot's boyfriend brought her some vanilla ice cream. She hated that flavor. Even so, she refused the gift. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","refused",8.43,8.59,7.7,9.07,8.07,8.37,25
"112",28,111,"Margot's boyfriend brought her some chocolate ice cream. It was her favorite flavor. Even so, she refused the gift. ","PLAUS_CONN","PLAUS_CONN","1","1","1","refused",7.57,9.53,7.09,7.01,7.31,7.08,26
"113",29,112,"The famous violinist was confident about her performance. She played the piece exceptionally. Everyone cheered for her. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","cheered",9.4,9.91,9.4,9.4,9.91,9.4,22
"114",29,113,"The famous violinist was worried about her performance. She made many mistakes as she played. Everyone cheered for her. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","cheered",11.99,11.95,11.04,11.99,11.95,11.04,24
"115",29,114,"The famous violinist was confident about her performance. She played the piece exceptionally. Even so, everyone cheered for her. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","cheered",10.07,10.73,10.88,11.32,12.43,12.58,25
"116",29,115,"The famous violinist was worried about her performance. She made many mistakes as she played. Even so, everyone cheered for her. ","PLAUS_CONN","PLAUS_CONN","1","1","1","cheered",9.89,11.05,9.14,10.71,11.61,9.91,27
"117",30,116,"The seamstress was pinning Toby's suit. She was quick and careless with the pins. Toby was poked a few times. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","poked",15.28,16.76,14.89,15.28,16.76,14.89,27
"118",30,117,"The seamstress was pinning Toby's suit. She was extremely careful with the pins. Toby was poked a few times. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","poked",15.86,17.31,16.25,15.86,17.31,16.25,26
"119",30,118,"The seamstress was pinning Toby's suit. She was quick and careless with the pins. Even so, Toby was poked a few times. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","poked",17.01,17.35,15.26,17.36,17.72,18.13,30
"120",30,119,"The seamstress was pinning Toby's suit. She was extremely careful with the pins. Even so, Toby was poked a few times. ","PLAUS_CONN","PLAUS_CONN","1","1","1","poked",16.88,18.08,14.94,16.98,17.19,17.56,29
"121",31,120,"Jody had a garden in the backyard. She never spent much time working there. It was full of weeds and garbage. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","weeds",4.81,6.04,3.37,4.81,6.04,3.37,26
"122",31,121,"Jody had a garden in the backyard. She spent a lot of time taking care of it. It was full of weeds and garbage. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","weeds",5.22,6.06,6.02,5.22,6.06,6.02,29
"123",31,122,"Jody had a garden in the backyard. She never spent much time working there. Even so, it was full of weeds and garbage. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","weeds",7.45,8.39,3.54,7.82,7.35,4.73,29
"124",31,123,"Jody had a garden in the backyard. She spent a lot of time taking care of it. Even so, it was full of weeds and garbage. ","PLAUS_CONN","PLAUS_CONN","1","1","1","weeds",4.1,7.58,0.55,4.14,4.42,0.62,32
"125",32,124,"The gymnast specialized in the balance beam. She stumbled during the first trick. She was disappointed with herself. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","disappointed",10.48,10.93,11.22,10.48,10.93,11.22,23
"126",32,125,"The gymnast specialized in the balance beam. She performed her first trick perfectly. She was disappointed with herself. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","disappointed",12.03,12.96,10.54,12.03,12.96,10.54,23
"127",32,126,"The gymnast specialized in the balance beam. She stumbled during the first trick. Even so, she was disappointed with herself. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","disappointed",12.66,12.11,11.8,13.41,10.46,14.77,26
